키워드	월합계	문서수	경쟁률
성심당	368000	795454	2.2
삼척 가볼만한곳	110200	129634	1.2
서대문형무소	106900	99128	0.9
남해 가볼만한곳	91610	280164	3.1
인천 가볼만한곳	88550	1614161	18.2
파주 가볼만한곳	80240	412872	5.1
양평 가볼만한곳	63340	233656	3.7
수원 가볼만한곳	53520	756391	14.1
익산 가볼만한곳	51590	136094	2.6
오사카 가볼만한곳	51200	306941	6.0
장호항	48430	70636	1.5
궁평항	39320	80172	2.0
수원화성	35530	3025874	85.2
인천 차이나타운	31620	268331	8.5
국립생태원	29900	251375	8.4
화성 가볼만한곳	24340	375819	15.4
무릉별유천지	21550	17113	0.8
고수동굴	19810	90983	4.6
천리포수목원	17560	53674	3.1
세미원	15560	88657	5.7
소금산 출렁다리	14590	44701	3.1
외암민속마을	13030	46119	3.5
공산성	12590	110096	8.7
의림지	11640	104042	8.9
용연동굴	11520	13135	1.1
마장호수	10890	99154	9.1
청풍호	9930	112587	11.3
무령왕릉	8170	64398	7.9
헤이리예술마을	2600	96675	37.2
신두리사구	1100	34105	31.0
