부산 가볼만한곳	22500	195800	2295821	부산가볼만한곳
부산 당일치기	610	1820	216114	부산당일치기
부산 여행코스	1190	2370	1388406	부산여행코스
부산 가는법	60	710	3003213	부산가는법
부산 당일치기 코스	860	4230	72583	부산당일치기코스
부산 뚜벅이	50	80	191700	부산뚜벅이
제주 가볼만한곳	6990	53900	2365367	제주가볼만한곳
제주 당일치기	190	1010	160126	제주당일치기
제주 여행코스	490	910	2305127	제주여행코스
제주 가는법	< 10	30	1830285	제주가는법
제주 당일치기 코스	20	80	63973	제주당일치기코스
제주 뚜벅이	70	170	276238	제주뚜벅이
서울 가볼만한곳	12700	115900	5662730	서울가볼만한곳
서울 당일치기	350	1000	536185	서울당일치기
서울 여행코스	880	3060	2904758	서울여행코스
서울 가는법	10	200	8667665	서울가는법
서울 당일치기 코스	60	120	216453	서울당일치기코스
서울 뚜벅이	10	50	437141	서울뚜벅이
경주 가볼만한곳	17300	179800	673142	경주가볼만한곳
경주 당일치기	440	1240	87508	경주당일치기
경주 여행코스	1250	4340	487987	경주여행코스
경주 가는법	70	570	539679	경주가는법
경주 당일치기 코스	480	2290	34470	경주당일치기코스
경주 뚜벅이	80	170	63250	경주뚜벅이
강릉 가볼만한곳	19700	186200	509280	강릉가볼만한곳
강릉 당일치기	1230	4240	106456	강릉당일치기
강릉 여행코스	2300	7410	425463	강릉여행코스
강릉 가는법	90	720	371026	강릉가는법
강릉 당일치기 코스	570	1770	37906	강릉당일치기코스
강릉 뚜벅이	130	390	70807	강릉뚜벅이
전주 가볼만한곳	9100	89100	534954	전주가볼만한곳
전주 당일치기	450	1570	73069	전주당일치기
전주 여행코스	730	2560	309845	전주여행코스
전주 가는법	30	370	646801	전주가는법
전주 당일치기 코스	260	870	25590	전주당일치기코스
전주 뚜벅이	30	60	40190	전주뚜벅이
여수 가볼만한곳	18200	189000	396143	여수가볼만한곳
여수 당일치기	240	660	40607	여수당일치기
여수 여행코스	1570	7160	332735	여수여행코스
여수 가는법	80	550	306652	여수가는법
여수 당일치기 코스	10	50	17660	여수당일치기코스
여수 뚜벅이	40	140	35810	여수뚜벅이
속초 가볼만한곳	16000	164000	393347	속초가볼만한곳
속초 당일치기	570	2320	68559	속초당일치기
속초 여행코스	1780	7360	336123	속초여행코스
속초 가는법	120	880	235431	속초가는법
속초 당일치기 코스	330	1030	25557	속초당일치기코스
속초 뚜벅이	70	170	38815	속초뚜벅이
통영 가볼만한곳	10400	107800	229959	통영가볼만한곳
통영 당일치기	150	440	26302	통영당일치기
통영 여행코스	760	2330	203154	통영여행코스
통영 가는법	110	710	187660	통영가는법
통영 당일치기 코스	10	20	12861	통영당일치기코스
통영 뚜벅이	30	100	14327	통영뚜벅이
가평 가볼만한곳	7010	81300	285979	가평가볼만한곳
가평 당일치기	250	1410	65654	가평당일치기
가평 여행코스	190	740	194414	가평여행코스
가평 가는법	20	360	202128	가평가는법
가평 당일치기 코스	< 10	20	27158	가평당일치기코스
가평 뚜벅이	10	60	21042	가평뚜벅이
안동 가볼만한곳	6120	60200	196147	안동가볼만한곳
안동 당일치기	90	350	19656	안동당일치기
안동 여행코스	520	1420	115606	안동여행코스
안동 가는법	30	120	223024	안동가는법
안동 당일치기 코스	40	120	8918	안동당일치기코스
안동 뚜벅이	20	90	12034	안동뚜벅이
춘천 가볼만한곳	9140	99700	324139	춘천가볼만한곳
춘천 당일치기	590	1840	69430	춘천당일치기
춘천 여행코스	620	2130	213878	춘천여행코스
춘천 가는법	40	270	334079	춘천가는법
춘천 당일치기 코스	300	1190	29616	춘천당일치기코스
춘천 뚜벅이	40	140	24483	춘천뚜벅이
태백 가볼만한곳	7500	75600	87826	태백가볼만한곳
태백 당일치기	90	320	9418	태백당일치기
서천 가볼만한곳	2360	28600	72723	서천가볼만한곳
서천 당일치기	10	70	7526	서천당일치기
아산 가볼만한곳	2720	32300	220496	아산가볼만한곳
아산 당일치기	60	290	20933	아산당일치기
단양 가볼만한곳	11500	109400	128185	단양가볼만한곳
단양 당일치기	190	720	21410	단양당일치기
제천 가볼만한곳	7450	79100	128751	제천가볼만한곳
제천 당일치기	160	480	18237	제천당일치기
공주 가볼만한곳	7950	73700	640998	공주가볼만한곳
공주 당일치기	930	2720	60345	공주당일치기
대전 가볼만한곳	13100	122800	1084418	대전가볼만한곳
대전 당일치기	1380	3890	128758	대전당일치기
태안 가볼만한곳	7870	74900	174096	태안가볼만한곳
태안 당일치기	190	500	24661	태안당일치기
원주 가볼만한곳	6500	71600	288279	원주가볼만한곳
원주 당일치기	120	420	26307	원주당일치기
동해 가볼만한곳	4660	50200	464621	동해가볼만한곳
동해 당일치기	100	440	76391	동해당일치기
정동진 가볼만한곳	1370	16000	50505	정동진가볼만한곳
정동진 당일치기	50	200	14507	정동진당일치기
부여 가볼만한곳	5910	57000	538743	부여가볼만한곳
부여 당일치기	200	520	24475	부여당일치기
차 없이 여행	20	240	12583529	차없이여행
뚜벅이 여행	180	550	1209298	뚜벅이여행
뚜벅이 당일치기	190	960	86969	뚜벅이당일치기
대중교통 여행	20	130	3266473	대중교통여행
차없이 당일치기	< 10	< 10	346843	차없이당일치기
기차여행 당일치기	20	150	272477	기차여행당일치기
버스여행 국내	< 10	< 10	1812452	버스여행국내
무계획 당일치기	< 10	< 10	14116	무계획당일치기
65세 무료 관광지	< 10	< 10	70568	65세무료관광지
경로우대 무료입장	< 10	< 10	37088	경로우대무료입장
어르신 무료 관광지	< 10	< 10	75511	어르신무료관광지
노인 무료 여행지	< 10	< 10	60650	노인무료여행지
경복궁 경로 무료	< 10	< 10	4789	경복궁경로무료
고궁 무료입장	< 10	20	48872	고궁무료입장
조선왕릉 입장료	< 10	< 10	24291	조선왕릉입장료
국립박물관 무료	< 10	< 10	367668	국립박물관무료
경로우대 할인	< 10	40	68853	경로우대할인
65세 이상 무료	< 10	< 10	515298	65세이상무료
무료 관광지 서울	< 10	< 10	421603	무료관광지서울
시니어 여행지	10	80	113002	시니어여행지
서울둘레길	1980	5530	473674	서울둘레길
서울둘레길 1코스	170	850	159849	서울둘레길1코스
걷기 좋은 길	110	340	3424191	걷기좋은길
산책 코스	40	330	4477527	산책코스
코리아둘레길	840	890	71573	코리아둘레길
수도권 둘레길	10	30	58369	수도권둘레길
한강 산책코스	10	90	219427	한강산책코스
남산 둘레길	420	1540	81110	남산둘레길
북한산 둘레길	1050	3610	144901	북한산둘레길
서울 산책하기 좋은 곳	20	120	1208457	서울산책하기좋은곳
평지 산책로	< 10	< 10	134354	평지산책로
노인 걷기 좋은 곳	< 10	< 10	88784	노인걷기좋은곳
둘레길 대중교통	< 10	< 10	73718	둘레길대중교통
서울 걷기코스	10	30	405726	서울걷기코스
가을 산책코스	< 10	< 10	769666	가을산책코스
