키워드	월검색량	문서수	경쟁률
거창 감악산	18450	25010	1.4
안성팜랜드	50600	71200	1.4
영월 가볼만한곳	58770	98646	1.7
영월 홍메밀꽃밭	260	465	1.8
거창 가볼만한곳	33610	61461	1.8
포천 가볼만한곳	73410	203378	2.8
연천 가볼만한곳	23580	69502	2.9
재인폭포	9140	33069	3.6
남원 가볼만한곳	35900	143312	4.0
강매석교공원	470	2223	4.7
안성 가볼만한곳	23180	152720	6.6
아산 가볼만한곳	32230	223578	6.9
아스타국화	3760	26526	7.1
천안 가볼만한곳	58250	414296	7.1
댑싸리	10320	80987	7.8
감악산 아스타국화	1260	10562	8.4
핀스커피	970	8417	8.7
황화코스모스	5990	69576	11.6
임진강 댑싸리공원	450	6292	14.0
남원 신생마을	110	1755	15.8
아산 은행나무길	2980	53657	18.0
곡교천 은행나무길	1350	27243	20.2
고양 가볼만한곳	5660	373677	66.0
코스모스 명소	370	86518	233.2
가을 꽃구경	250	133073	530.2
가을 여행지	4230	2546146	601.8
은행나무길	930	821974	882.9
가을 나들이	520	1485605	2851.4
