키워드	pc	mobile	월검색량	문서수	경쟁률
태백 해바라기축제	5460	44500	49960	11381	0.2
불갑사 상사화축제	610	8340	8950	11168	1.2
철원 가볼만한곳	2390	25900	28290	63831	2.3
상사화	2650	56300	58950	146551	2.5
정읍 가볼만한곳	1660	19000	20660	60649	2.9
고창 가볼만한곳	2350	26000	28350	89458	3.2
상사화 축제	450	5960	6410	22991	3.6
함평 가볼만한곳	710	9730	10440	46182	4.4
고석정 꽃밭	620	3600	4220	19475	4.6
정읍 구절초축제	350	2280	2630	15854	6.0
선운사 꽃무릇	320	3560	3880	23884	6.2
양주 나리공원	440	3950	4390	31161	7.1
고석정	1410	7450	8860	64568	7.3
철원 고석정 꽃밭	310	2060	2370	17623	7.4
해바라기 축제	1050	12300	13350	118416	8.9
꽃무릇	1030	9200	10230	130208	12.7
마산 국화축제	210	1340	1550	20811	13.4
꽃무릇 축제	180	1190	1370	24216	17.7
구절초 축제	150	1880	2030	42958	21.2
영광 가볼만한곳	1330	14200	15530	352185	22.7
천일홍 축제	100	560	660	26342	39.9
함평 꽃무릇	30	190	220	9700	43.9
9월 축제	11300	22800	34100	1961533	57.5
민둥산 억새	110	320	430	26225	60.8
핑크뮬리	950	5790	6740	433440	64.3
해바라기 명소	100	770	870	57940	66.5
불갑사 꽃무릇	40	200	240	16489	68.4
꽃무릇 명소	30	150	180	14275	78.9
코스모스 축제	370	1590	1960	189128	96.4
하늘공원 억새축제	120	360	480	49732	103.4
억새 축제	210	810	1020	135149	132.4
국화축제	360	1160	1520	285343	187.6
10월 축제	3970	8070	12040	2883341	239.5
가을 축제	1980	3770	5750	1524634	265.1
핑크뮬리 명소	50	200	250	75699	301.6
가을꽃축제	270	1380	1650	575799	348.8
9월 가볼만한곳	900	3660	4560	2589596	567.8
10월 가볼만한곳	280	810	1090	4189004	3839.6
