키워드	현재검색량(2026-08)	r2025-08	r2025-09	r2025-10	r2025-11	분류
추석 가볼만한곳	450	5.3	44.2	100.0		추석
추석 여행	3160	65.2	100.0	24.9		추석
추석 연휴 여행	2010	48.3	100.0	35.0		추석
추석 당일치기		1.4	100.0	90.6		추석
추석 연휴 가볼만한곳	470	7.4	53.1	100.0		추석
명절 가볼만한곳		0.7	20.3	100.0		추석
추석 여행지	440	49.1	100.0	27.1		추석
추석 나들이	50	0.5	56.9	100.0		추석
추석에 갈만한곳	130	20.9	96.4	100.0		추석
연휴 여행지			87.5	100.0		추석
추석 연휴 국내여행	600	29.3	100.0	39.3		추석
추석 데이트		0.3	36.3	100.0		추석
가을 여행지	2440	29.5	82.7	100.0	45.7	가을일반
가을 가볼만한곳	220	8.2	50.6	100.0	65.6	가을일반
10월 여행지	1700	85.8	100.0	59.7	0.7	가을일반
10월 가볼만한곳	710	9.7	40.5	100.0	0.8	가을일반
9월 여행지	2390	100.0	81.2	0.9		가을일반
9월 가볼만한곳	2630	32.6	100.0	0.8		가을일반
가을 나들이	130	7.7	51.5	100.0	67.7	가을일반
가을 여행	1710	24.9	75.3	100.0	65.9	가을일반
가을 국내여행	440	52.8	100.0	84.2	38.3	가을일반
가을 여행지 추천	1330	34.9	87.6	100.0	48.3	가을일반
단풍 시기	11070	6.4	31.2	100.0	28.9	단풍
단풍 명소	730	2.4	9.5	58.8	100.0	단풍
단풍 절정	150	0.6	8.3	75.9	100.0	단풍
단풍 여행	260	6.7	21.7	82.0	100.0	단풍
내장산 단풍	1160	1.2	5.4	56.9	100.0	단풍
설악산 단풍	1250	2.0	9.7	100.0	33.7	단풍
오대산 단풍	230	1.5	6.1	100.0	35.1	단풍
지리산 단풍	260	3.7	8.9	73.3	100.0	단풍
대둔산 단풍	70	0.2	3.4	38.3	100.0	단풍
남한산성 단풍	40	0.0	2.6	33.2	100.0	단풍
서울 단풍	170	1.3	6.7	65.8	100.0	단풍
단풍 가볼만한곳			0.5	46.7	100.0	단풍
핑크뮬리	5660	7.2	29.7	100.0	31.8	가을축제
코스모스 축제	1150	2.4	65.5	100.0	24.9	가을축제
억새 축제	690	2.8	17.9	100.0	25.6	가을축제
하늘공원 억새	100	0.6	18.1	100.0	70.4	가을축제
국화축제	990	1.4	24.3	100.0	61.5	가을축제
불꽃축제	71650	4.6	100.0	17.3	20.2	가을축제
서울세계불꽃축제	30630	23.7	100.0	4.0	1.6	가을축제
가을 축제	3960	9.3	49.0	100.0	41.3	가을축제
구절초 축제	1440	3.8	24.4	100.0	8.3	가을축제
메밀꽃 축제	740	29.8	100.0	54.1	3.1	가을축제
아침고요수목원	29380	48.2	56.1	100.0	79.2	가을명소
화담숲	75070	13.4	84.7	100.0	81.4	가을명소
남이섬	83800	49.5	56.5	100.0	80.8	가을명소
창경궁 야간개장	12280	33.1	74.5	100.0	32.3	가을명소
경복궁 별빛야행	13550	10.3	19.6	100.0	12.0	가을명소
순천만 갈대	150	9.3	24.9	48.8	100.0	가을명소
담양 메타세쿼이아길	460	11.7	27.0	49.2	100.0	가을명소
강천산	4000	19.9	21.6	59.7	100.0	가을명소
주왕산	16330	35.1	46.6	93.5	100.0	가을명소
청산도	11150	100.0	89.8	96.1	66.2	가을명소
선재도	17980	100.0	81.8	68.0	35.6	가을명소
두물머리	18080	85.3	71.4	100.0	77.4	가을명소
