지역	월검색량	문서수	경쟁률
태백	83100	87826	1.1
단양	120900	128185	1.1
삼척	110200	129634	1.2
제천	86550	128751	1.5
영월	58770	98646	1.7
거창	33610	61461	1.8
여수	207200	396143	1.9
통영	118200	229959	1.9
태안	82770	174096	2.1
속초	180000	393347	2.2
철원	28290	63831	2.3
서천	30960	72723	2.3
강릉	205900	509280	2.5
익산	51590	136094	2.6
포천	73410	203378	2.8
정읍	20660	60649	2.9
정동진	17370	50505	2.9
연천	23580	69502	2.9
안동	66320	196147	3.0
춘천	108840	324139	3.0
남해	91610	280164	3.1
고창	28350	89458	3.2
가평	88310	285979	3.2
경주	197100	673142	3.4
원주	78100	288279	3.7
양평	63340	233656	3.7
남원	35900	143312	4.0
함평	10440	46182	4.4
파주	80240	412872	5.1
전주	98200	534954	5.4
오사카	51200	306941	6.0
아산	35020	220496	6.3
안성	23180	152720	6.6
천안	58250	414296	7.1
공주	81650	640998	7.9
대전	135900	1084418	8.0
동해	54860	464621	8.5
부여	62910	538743	8.6
부산	218300	2295821	10.5
수원	53520	756391	14.1
화성	24340	375819	15.4
인천	88550	1614161	18.2
영광	15530	352185	22.7
제주	60890	2365367	38.8
서울	128600	5662730	44.0
고양	5660	373677	66.0
